Package,Category,OptimizedCache
Microsoft.AspNet.Identity.AspNetCoreCompat,ship,exclude
Microsoft.AspNetCore,ship,exclude
Microsoft.AspNetCore.All,ship,exclude
Microsoft.AspNetCore.Antiforgery,ship,include
Microsoft.AspNetCore.ApplicationInsights.HostingStartup,ship,include
Microsoft.AspNetCore.Authentication,ship,include
Microsoft.AspNetCore.Authentication.Abstractions,ship,include
Microsoft.AspNetCore.Authentication.Cookies,ship,include
Microsoft.AspNetCore.Authentication.Core,ship,include
Microsoft.AspNetCore.Authentication.Facebook,ship,include
Microsoft.AspNetCore.Authentication.Google,ship,include
Microsoft.AspNetCore.Authentication.JwtBearer,ship,include
Microsoft.AspNetCore.Authentication.MicrosoftAccount,ship,include
Microsoft.AspNetCore.Authentication.OAuth,ship,include
Microsoft.AspNetCore.Authentication.OpenIdConnect,ship,include
Microsoft.AspNetCore.Authentication.Twitter,ship,include
Microsoft.AspNetCore.Authorization,ship,include
Microsoft.AspNetCore.Authorization.Policy,ship,include
Microsoft.AspNetCore.AzureAppServicesIntegration,ship,include
Microsoft.AspNetCore.AzureAppServices.HostingStartup,ship,include
Microsoft.AspNetCore.AzureAppServices.SiteExtension,shipoob,exclude
Microsoft.AspNetCore.Buffering,noship,exclude
Microsoft.AspNetCore.CertificateGeneration.Task,ship,exclude
Microsoft.AspNetCore.ChunkingCookieManager.Sources,noship,exclude
Microsoft.AspNetCore.CookiePolicy,ship,include
Microsoft.AspNetCore.Cors,ship,include
Microsoft.AspNetCore.Cryptography.Internal,ship,include
Microsoft.AspNetCore.Cryptography.KeyDerivation,ship,include
Microsoft.AspNetCore.DataProtection,ship,include
Microsoft.AspNetCore.DataProtection.Abstractions,ship,include
Microsoft.AspNetCore.DataProtection.AzureStorage,ship,include
Microsoft.AspNetCore.DataProtection.Extensions,ship,include
Microsoft.AspNetCore.DataProtection.Redis,noship,exclude
Microsoft.AspNetCore.DataProtection.SystemWeb,ship,exclude
Microsoft.AspNetCore.Diagnostics,ship,include
Microsoft.AspNetCore.Diagnostics.Abstractions,ship,include
Microsoft.AspNetCore.Diagnostics.Elm,noship,exclude
Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore,ship,include
Microsoft.AspNetCore.Diagnostics.Identity.Service,ship,include
Microsoft.AspNetCore.Hosting,ship,include
Microsoft.AspNetCore.Hosting.Abstractions,ship,include
Microsoft.AspNetCore.Hosting.Server.Abstractions,ship,include
Microsoft.AspNetCore.Hosting.WindowsServices,ship,exclude
Microsoft.AspNetCore.Html.Abstractions,ship,include
Microsoft.AspNetCore.Http,ship,include
Microsoft.AspNetCore.Http.Abstractions,ship,include
Microsoft.AspNetCore.Http.Extensions,ship,include
Microsoft.AspNetCore.Http.Features,ship,include
Microsoft.AspNetCore.HttpOverrides,ship,include
Microsoft.AspNetCore.Identity,ship,include
Microsoft.AspNetCore.Identity.EntityFrameworkCore,ship,include
Microsoft.AspNetCore.Identity.Specification.Tests,ship,exclude
Microsoft.AspNetCore.Identity.Service.Core,ship,include
Microsoft.AspNetCore.Identity.Service.Abstractions,ship,include
Microsoft.AspNetCore.Identity.Service.AzureKeyVault,ship,include
Microsoft.AspNetCore.Identity.Service,ship,include
Microsoft.AspNetCore.Identity.Service.EntityFrameworkCore,ship,include
Microsoft.AspNetCore.Identity.Service.IntegratedWebClient,ship,include
Microsoft.AspNetCore.Identity.Service.Mvc,ship,include
Microsoft.AspNetCore.Identity.Service.Specification.Tests,ship,exclude
Microsoft.AspNetCore.JsonPatch,ship,include
Microsoft.AspNetCore.Localization,ship,include
Microsoft.AspNetCore.Localization.Routing,ship,include
Microsoft.AspNetCore.MiddlewareAnalysis,ship,include
Microsoft.AspNetCore.Mvc,ship,include
Microsoft.AspNetCore.Mvc.Abstractions,ship,include
Microsoft.AspNetCore.Mvc.ApiExplorer,ship,include
Microsoft.AspNetCore.Mvc.Core,ship,include
Microsoft.AspNetCore.Mvc.Cors,ship,include
Microsoft.AspNetCore.Mvc.DataAnnotations,ship,include
Microsoft.AspNetCore.Mvc.Formatters.Json,ship,include
Microsoft.AspNetCore.Mvc.Formatters.Xml,ship,include
Microsoft.AspNetCore.Mvc.Localization,ship,include
Microsoft.AspNetCore.Mvc.Razor,ship,include
Microsoft.AspNetCore.Mvc.Razor.Extensions,ship,include
Microsoft.AspNetCore.Mvc.RazorPages,ship,include
Microsoft.AspNetCore.Mvc.Razor.ViewCompilation,ship,include
Microsoft.AspNetCore.Mvc.TagHelpers,ship,include
Microsoft.AspNetCore.Mvc.ViewFeatures,ship,include
Microsoft.AspNetCore.Mvc.WebApiCompatShim,ship,exclude
Microsoft.AspNetCore.NodeServices,ship,include
Microsoft.AspNetCore.NodeServices.Sockets,noship,exclude
Microsoft.AspNetCore.Owin,ship,include
Microsoft.AspNetCore.Proxy,noship,exclude
Microsoft.AspNetCore.RangeHelper.Sources,noship,exclude
Microsoft.AspNetCore.Razor,ship,include
Microsoft.AspNetCore.Razor.Language,ship,include
Microsoft.AspNetCore.Razor.Runtime,ship,include
Microsoft.AspNetCore.Razor.TagHelpers.Testing.Sources,noship,exclude
Microsoft.AspNetCore.ResponseCaching,ship,include
Microsoft.AspNetCore.ResponseCaching.Abstractions,ship,include
Microsoft.AspNetCore.ResponseCompression,ship,include
Microsoft.AspNetCore.Rewrite,ship,include
Microsoft.AspNetCore.Routing,ship,include
Microsoft.AspNetCore.Routing.Abstractions,ship,include
Microsoft.AspNetCore.Routing.DecisionTree.Sources,noship,exclude
Microsoft.AspNetCore.Server.HttpSys,ship,include
Microsoft.AspNetCore.Server.IISIntegration,ship,include
Microsoft.AspNetCore.Server.IntegrationTesting,noship,exclude
Microsoft.AspNetCore.Server.Kestrel,ship,include
Microsoft.AspNetCore.Server.Kestrel.Core,ship,include
Microsoft.AspNetCore.Server.Kestrel.Https,ship,include
Microsoft.AspNetCore.Server.Kestrel.Transport.Abstractions,ship,include
Microsoft.AspNetCore.Server.Kestrel.Transport.Libuv,ship,include
Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets,ship,include
Microsoft.AspNetCore.Session,ship,include
Microsoft.AspNetCore.SignalR.Client,noship,exclude
Microsoft.AspNetCore.SignalR.Common,noship,exclude
Microsoft.AspNetCore.SignalR.Http,noship,exclude
Microsoft.AspNetCore.SignalR.Redis,noship,exclude
Microsoft.AspNetCore.SignalR,noship,exclude
Microsoft.AspNetCore.Sockets,noship,exclude
Microsoft.AspNetCore.Sockets.Abstractions,noship,exclude
Microsoft.AspNetCore.Sockets.Client,noship,exclude
Microsoft.AspNetCore.Sockets.Common,noship,exclude
Microsoft.AspNetCore.Sockets.Http,noship,exclude
Microsoft.AspNetCore.SpaServices,ship,include
Microsoft.AspNetCore.StaticFiles,ship,include
Microsoft.AspNetCore.TestHost,ship,exclude
Microsoft.AspNetCore.Testing,noship,exclude
Microsoft.AspNetCore.WebSockets,ship,include
Microsoft.AspNetCore.WebSockets.Internal,noship,exclude
Microsoft.AspNetCore.WebUtilities,ship,include
Microsoft.CodeAnalysis.Razor,ship,include
Microsoft.CodeAnalysis.Razor.Workspaces,ship,exclude
Microsoft.CodeAnalysis.Remote.Razor,ship,exclude
Microsoft.Data.Sqlite,ship,include
Microsoft.Data.Sqlite.Core,ship,include
Microsoft.DotNet.Watcher.Tools,ship,exclude
Microsoft.EntityFrameworkCore,ship,include
Microsoft.EntityFrameworkCore.ApplicationInsights,noship,exclude
Microsoft.EntityFrameworkCore.Design,ship,include
Microsoft.EntityFrameworkCore.InMemory,ship,include
Microsoft.EntityFrameworkCore.Relational,ship,include
Microsoft.EntityFrameworkCore.Relational.Design,ship,include
Microsoft.EntityFrameworkCore.Relational.Design.Specification.Tests,ship,exclude
Microsoft.EntityFrameworkCore.Relational.Specification.Tests,ship,exclude
Microsoft.EntityFrameworkCore.Specification.Tests,ship,exclude
Microsoft.EntityFrameworkCore.Sqlite,ship,include
Microsoft.EntityFrameworkCore.Sqlite.Core,ship,include
Microsoft.EntityFrameworkCore.Sqlite.Design,ship,include
Microsoft.EntityFrameworkCore.SqlServer,ship,include
Microsoft.EntityFrameworkCore.SqlServer.Design,ship,include
Microsoft.EntityFrameworkCore.Tools,ship,include
Microsoft.EntityFrameworkCore.Tools.DotNet,ship,exclude
Microsoft.Extensions.ActivatorUtilities.Sources,noship,exclude
Microsoft.Extensions.Caching.Abstractions,ship,include
Microsoft.Extensions.Caching.Memory,ship,include
Microsoft.Extensions.Caching.Redis,ship,include
Microsoft.Extensions.Caching.SqlConfig.Tools,ship,exclude
Microsoft.Extensions.Caching.SqlServer,ship,include
Microsoft.Extensions.ClosedGenericMatcher.Sources,noship,exclude
Microsoft.Extensions.CommandLineUtils.Sources,noship,exclude
Microsoft.Extensions.Configuration,ship,include
Microsoft.Extensions.Configuration.Abstractions,ship,include
Microsoft.Extensions.Configuration.AzureKeyVault,ship,include
Microsoft.Extensions.Configuration.Binder,ship,include
Microsoft.Extensions.Configuration.CommandLine,ship,include
Microsoft.Extensions.Configuration.DockerSecrets,noship,exclude
Microsoft.Extensions.Configuration.EnvironmentVariables,ship,include
Microsoft.Extensions.Configuration.FileExtensions,ship,include
Microsoft.Extensions.Configuration.Ini,ship,include
Microsoft.Extensions.Configuration.Json,ship,include
Microsoft.Extensions.Configuration.UserSecrets,ship,include
Microsoft.Extensions.Configuration.Xml,ship,include
Microsoft.Extensions.CopyOnWriteDictionary.Sources,noship,exclude
Microsoft.Extensions.DependencyInjection,ship,include
Microsoft.Extensions.DependencyInjection.Abstractions,ship,include
Microsoft.Extensions.DependencyInjection.Specification.Tests,ship,exclude
Microsoft.Extensions.DiagnosticAdapter,ship,include
Microsoft.Extensions.FileProviders.Abstractions,ship,include
Microsoft.Extensions.FileProviders.Composite,ship,include
Microsoft.Extensions.FileProviders.Embedded,ship,include
Microsoft.Extensions.FileProviders.Physical,ship,include
Microsoft.Extensions.FileSystemGlobbing,ship,include
Microsoft.Extensions.HashCodeCombiner.Sources,noship,exclude
Microsoft.Extensions.Hosting.Abstractions,ship,include
Microsoft.Extensions.Identity.Core,ship,include
Microsoft.Extensions.Identity.Stores,ship,include
Microsoft.Extensions.Localization,ship,include
Microsoft.Extensions.Localization.Abstractions,ship,include
Microsoft.Extensions.Logging,ship,include
Microsoft.Extensions.Logging.Abstractions,ship,include
Microsoft.Extensions.Logging.AzureAppServices,ship,include
Microsoft.Extensions.Logging.Console,ship,include
Microsoft.Extensions.Logging.Debug,ship,include
Microsoft.Extensions.Logging.EventLog,ship,exclude
Microsoft.Extensions.Logging.EventSource,ship,include
Microsoft.Extensions.Logging.Testing,noship,exclude
Microsoft.Extensions.Logging.TraceSource,ship,include
Microsoft.Extensions.ObjectMethodExecutor.Sources,noship,exclude
Microsoft.Extensions.ObjectPool,ship,include
Microsoft.Extensions.Options,ship,include
Microsoft.Extensions.Options.ConfigurationExtensions,ship,include
Microsoft.Extensions.Primitives,ship,include
Microsoft.Extensions.Process.Sources,noship,exclude
Microsoft.Extensions.PropertyActivator.Sources,noship,exclude
Microsoft.Extensions.PropertyHelper.Sources,noship,exclude
Microsoft.Extensions.RazorViews.Sources,noship,exclude
Microsoft.Extensions.SecretManager.Tools,ship,exclude
Microsoft.Extensions.SecurityHelper.Sources,noship,exclude
Microsoft.Extensions.StackTrace.Sources,noship,exclude
Microsoft.Extensions.TaskCache.Sources,noship,exclude
Microsoft.Extensions.TypeNameHelper.Sources,noship,exclude
Microsoft.Extensions.WebEncoders,ship,include
